보고일자,지역,위도,경도,해파리크기,밀집여부
2016-12-01,전북 부안군 위도 넘어서까지 근해,35.662,126.229,,
2016-12-01,전라남도 장흥군 득량만 근해,34.596,127.074,,
2016-12-01,경남 통영시 욕지도 근해,34.657,128.289,,
2016-12-01,경남거제시 가조도 근해,34.982,128.548,,
2016-11-03,충남 당진군 현대제철 근해,36.994,126.671,,
2016-11-03,충남 태안군 안면읍 나치도 근해,36.501,126.149,,
2016-11-03,충남 당진 현대제철 근해,37.008,126.713,,
2016-11-03,"충남 당진군 대난지도, 소난지도 사이",37.043,126.444,,
2016-11-03,전북 군산시 십이동파도 근해,35.988,126.25,,
2016-11-03,전북 군산 십이동파도 근해,35.986,126.206,70-80,
2016-11-03,충남 아산만,36.966,126.822,,
2016-11-03,전북 군산시 옥도면 선유도 근해,35.833,126.387,,
2016-11-03,전북 부안 위도 근해,35.606,126.321,,
2016-11-03,전북 고창 상하면 자룡리 근해,35.445,126.416,,
2016-11-03,전북 군산 비안도 근해,35.753,126.425,,
2016-11-03,전북 군산 새만금 바깥 해역,35.887,126.528,,
2016-11-03,전북 부안군 위도 근해,35.617,126.241,,
2016-11-03,전북 군산 비안도 위도 사이,35.701,126.411,,
2016-11-03,"전북 부안군 왕등도, 위도 사이",35.624,126.196,50,
2016-11-03,전북 군산 비안도 남방근해,35.72,126.46,,
2016-11-03,전북 군산 새만금 근해,35.863,126.575,,
2016-11-03,충남 부석면 천수만 태안 근해,36.597,126.394,,
2016-11-03,전남 진도군 의신면 구자도리 근해,34.316,126.291,,
2016-11-03,"전남 진도군 임회면 죽도, 독거도 사이",34.299,126.202,,
2016-11-03,전남 신안군 가거도 근해,34.123,125.13,,
2016-11-03,전남 신안군 대흑산도 근해,34.616,125.35,80,
2016-11-03,전남 진도 근해,34.475,126.401,,
2016-11-03,전남 여수 소리도 근해,34.4,127.798,80,
2016-11-03,전남 고흥 거금도 근해,34.435,127.247,,
2016-11-03,전남 완도 근해,34.287,126.8,,
2016-11-03,전남 완도군 약산면 신지면 사이,34.369,126.82,,
2016-11-03,전남 고흥 나로도 근해,34.425,127.556,,
2016-11-03,전남 보성 득량만 근해,34.701,127.307,10-15,
2016-11-03,전남 고흥 득량만 연안,34.724,127.255,,
2016-11-03,경남 남해군 삼동면 물건항내,34.774,128.061,,
2016-11-03,경남 고성 연안,34.859,128.3,15,
2016-11-03,경남 통영시 사량도 근해,34.787,128.171,,
2016-11-03,경남 통영시 욕지도 근해,34.589,128.251,,
2016-11-03,경남 통영 산양읍 미남리 근해,34.759,128.395,,
2016-11-03,경남 창원시 진동만,35.095,128.471,,
2016-11-03,경남 사천 서포 가두리야식장 부근,34.97,128.003,,
2016-11-03,경남 남해 근해,34.935,127.983,10,
2016-11-03,경남 자란만 근해,34.915,128.231,,
2016-11-03,경남 남해 미조 근해,34.677,128.039,,
2016-11-03,경남 하동군 대도 근해,34.922,127.802,,
2016-11-03,경남 진해시 행암만 근해,35.123,128.69,,
2016-11-03,경남 창원시 진해구 잠도 근해,35.066,128.674,10-20,
2016-11-03,부산 고리원자력 발전소 근해,35.301,129.284,,
2016-11-03,부산 생도 근해,35.042,129.097,,
2016-11-03,부산 오륙도 송정 사이,35.098,129.174,,
2016-11-03,부산 해운대 청사포 근해,35.151,129.228,,
2016-11-03,부산 광안리 근해,35.14,129.122,,
2016-11-03,부산 태종대 근해,35.052,129.101,,
2016-11-03,부산 기장  동수 앞바다,35.152,129.196,,
2016-11-03,울산 동구 근해,35.51,129.467,,
2016-11-03,울산 북구 정자동 바깥해역,35.606,129.476,,
2016-11-03,경북 포항 영일만 근해,36.058,129.495,100,
2016-11-03,"경북 울릉도, 독도 사이",37.409,131.176,,
2016-11-03,경북 감포 근해,35.82,129.523,,
2016-11-03,경북 경주시 감포 근해,35.822,129.537,,
2016-11-03,경북 영덕군 남정면 근해,36.289,129.396,,
2016-11-03,"경북 영덕 축산항, 대진항 사이",36.532,129.451,,
2016-11-03,경북 포항시 82-4해구,36.282,129.621,,
2016-11-03,경북 울진 원자력발전소 근해,37.13,129.401,,
2016-11-03,경북 울진 오산항 근해,36.806,129.479,,
2016-11-03,경북 포항시 영일만 내,36.028,129.408,,
2016-11-03,경북 포항 북구 월포 근해,36.201,129.387,,
2016-11-03,경북 포항시 영일만 내,36.041,129.434,,
2016-11-03,경북 포항시 흥해 근해,36.135,129.419,,
2016-11-03,경북 포항시 흥해 칠포만 근해,36.161,129.419,,
2016-11-03,경북 울진 왕돌초 근해,37.002,129.434,,
2016-11-03,경북 울진 사동 앞바다,37.047,129.427,,
2016-11-03,경북 울진 근해,36.996,129.429,,
2016-11-03,강원도 양양군 낙산앞 남대천 하류,38.122,128.652,,
2016-11-03,제주도 차귀도 근해,33.306,126.16,,
2016-11-03,제주시 구좌읍 종달리 근해,33.531,126.924,,
2016-11-03,경기도 화성시 우정읍 석천리 앞바다,37.149,126.553,,
2016-11-03,경기도 화성시 우정읍 국화리,37.068,126.561,,
2016-11-03,"경기도 화성시 우정읍 국화리입파도,육도 근처해역",37.124,126.632,,
2016-11-03,경기도 화성시 서신면 궁평 앞바다,37.098,126.604,,
2016-11-03,경기도 화성시 우정읍 입파도 근해,37.107,126.544,,
2016-11-03,경기도 안산시 단원구 37번지 지선 방아머리 앞,37.284,126.558,,
2016-11-03,경기도 화성시 단원구 풍도근해,37.112,126.401,,
2016-11-03,경기도 시흥시 오이도앞 근해,37.352,126.676,,
2016-11-03,충남 서산 팔봉면 가로림만 내권,37.311,126.675,,
2016-11-03,충남 부석면 천수만 근해,36.515,126.419,,
2016-11-03,전북 군산시 비응도 군산해역,35.98,126.513,,
2016-11-03,전북 군산시 나운동 밖 해역,35.989,126.647,,
2016-11-03,전북 군산시 비응도 새만금 내측,35.826,126.436,,
2016-11-03,전북 군산시 옥도면 신시도리 새만금 내측,35.844,126.59,,
2016-11-03,전북 고창군 해리면 광승리 근해,35.513,126.469,,
2016-11-03,전북 부안군 위도 넘어서까지 근해,35.662,126.229,,
2016-11-03,전라남도 장흥군 득량만 근해,34.596,127.074,10-20,
2016-11-03,경남 통영시 사량도 근해,34.862,128.216,,
2016-11-03,경남 통영시 욕지도 근해,34.657,128.289,,
2016-11-03,경남거제시 가조도 근해,34.982,128.548,,
2016-11-03,도산 수월리 수월근해 노전밖,34.864,128.364,,
2016-11-03,경남 고성군 하이면 자란만 근해,34.905,128.155,,
2016-11-03,경남 통영시 광도면 죽림만,34.87833,128.424,,
2016-11-03,경남 통영시 사천바다 사량도 내해,34.862,128.181,,
2016-08-04,인천 옹진군 덕적면 대이작도 근해,37.164,126.238,20,
2016-08-04,인천 옹진군 대청면 소청도 근해,37.759,124.779,70-80,y
2016-08-04,인천 옹진군 북도면 장봉도 밑 날가지도 근해,37.512,126.33,,
2016-08-04,인천 연평도 근해,37.634,125.739,40,y
2016-08-04,인천 옹진군 덕적도 근해,37.289,126.124,20,y
2016-08-04,인천 무의도 근해,37.436,126.323,20-30,y
2016-08-04,인천 무의도 근해,37.436,126.323,50-60,
2016-08-04,인천 남구 송도 LNG기지 앞,37.374,126.616,20,
2016-08-04,인천 남구 송도 LNG기지 앞,37.374,126.616,,
2016-08-04,인천 백령도 연봉바위 근해,37.931,124.732,,
2016-08-04,인천 옹진군 덕적면 백아도 근해,37.077,125.925,50,
2016-08-04,인천 옹진군 북도면 장봉도 근해,37.519,126.351,20,
2016-08-04,인천 덕적도 근해,37.262,126.137,40-50,y
2016-08-04,인천시 옹진군 자월면 자월도 근해,37.243,126.352,,
2016-08-04,인천 강화도 근해,37.587,126.334,30,
2016-08-04,경기 평택 LNG근해,37.016,126.772,20,
2016-08-04,경기 평택 LNG근해,37.016,126.772,20,
2016-08-04,경기도 화성시 우정면 국화도 근해,37.066,126.542,20,
2016-08-04,충남 보령 삽시도 근해,36.344,126.332,,
2016-08-04,충남 태안군 근흥면 가의도리 옹도 근해,36.639,125.998,,
2016-08-04,충남 태안군 안면읍 나치도 근해,36.501,126.149,,
2016-08-04,충남 서산시 팔봉면 고파도 근해,36.93,126.322,,
2016-08-04,충남 당진 현대제철 근해,37.008,126.713,20,y
2016-08-04,"충남 당진군 대난지도, 소난지도 사이",37.043,126.444,,
2016-08-04,충남 태안군 격렬비열도 근해,36.605,125.561,,
2016-08-04,전북 군산시 십이동파도 근해,35.988,126.25,20,y
2016-08-04,충남 보령 대천항 근해,36.328,126.496,15,
2016-08-04,충남 아산만,36.966,126.822,20,
2016-08-04,전북 부안 위도 근해,35.606,126.321,10-20,y
2016-08-04,전북 군산 무녀도 근해,35.793,126.438,20,
2016-08-04,전북 군산 비안도 근해,35.753,126.425,20-30,y
2016-08-04,전북 군산 개야도 근해,36.029,126.534,15-20,
2016-08-04,전북 부안군 위도 근해,35.617,126.241,,
2016-08-04,전북 군산 비안도 위도 사이,35.701,126.411,,
2016-08-04,전북 군산 비안도 남방근해,35.72,126.46,,y
2016-08-04,전남 진도군 의신면 구자도리 근해,34.316,126.291,,
2016-08-04,"전남 진도군 임회면 죽도, 독거도 사이",34.299,126.202,60-100,y
2016-08-04,전남 신안군 소흑산도 남방해역,34.009,125.114,,
2016-08-04,전남 목포시 목포항 내,34.793,126.355,,
2016-08-04,전남 신안군 가거도 근해,34.123,125.13,50-60,y
2016-08-04,전남 진도 근해,34.475,126.401,50,y
2016-08-04,전남 진도 임회면 사자도 불모도 사이,34.275,125.949,50,
2016-08-04,전남 여수 소리도 근해,34.4,127.798,50-60,y
2016-08-04,전남 완도 근해,34.287,126.8,35,
2016-08-04,전남 완도군 약산면 신지면 사이,34.369,126.82,20-30,y
2016-08-04,전남 완도군 약산면 신지면 사이,34.369,126.82,20-30,y
2016-08-04,전남 완도군 약산면 근해,34.354,126.938,30,y
2016-08-04,전남 보성 득량만 근해,34.701,127.307,20-30,y
2016-08-04,전남 고흥 득량만 연안,34.724,127.255,20-30,y
2016-08-04,경남 남해군 삼동면 물건항내,34.774,128.061,,
2016-08-04,경남 남해 앵강만,34.768,127.937,30-60,y
2016-08-04,경남 고성 연안,34.859,128.3,20-30,y
2016-08-04,경남 고성 연안,34.859,128.3,25,
2016-08-04,경남 통영시 사량도 근해,34.787,128.171,20,
2016-08-04,경남 통영시 사량도 근해,34.787,128.171,50,
2016-08-04,경남 통영 산양읍 미남리 근해,34.759,128.395,60,
2016-08-04,경남 통영 산양읍 미남리 근해,34.759,128.395,20,y
2016-08-04,"경남 통영시 욕지도, 거제도 사이",34.659,128.412,50,y
2016-08-04,경남 사천 서포 가두리야식장 부근,34.97,128.003,,
2016-08-04,신노량항 부근,34.92,127.78,,
2016-08-04,경남 남해 근해,34.935,127.983,,
2016-08-04,경남 자란만 근해,34.915,128.231,,
2016-08-04,경남 남해 미조 근해,34.677,128.039,20,
2016-08-04,경남 진해시 행암만 근해,35.123,128.69,20,y
2016-08-04,부산 영도 근해,35.071,129.108,10-20,y
2016-08-04,부산 가덕도 근해,35.049,128.866,20,y
2016-08-04,부산 생도 근해,35.042,129.097,20,y
2016-08-04,부산 생도 근해,35.042,129.097,50-80,y
2016-08-04,부산 해운대 동백섬 근해,35.153,129.158,,
2016-08-04,부산 오륙도 송정 사이,35.098,129.174,30,y
2016-08-04,부산 오륙도 송정 사이,35.098,129.174,50-70,
2016-08-04,부산 해운대 청사포 근해,35.151,129.228,20-30,y
2016-08-04,부산 태종대 근해,35.052,129.101,20-30,y
2016-08-04,부산 가덕도 근해,35.036,128.863,,
2016-08-04,부산 사하구 다대포 근해,35.051,128.99,20-30,
2016-08-04,부산 오륙도 근해,35.088,129.136,,
2016-08-04,울산 동구 근해,35.51,129.467,50,y
2016-08-04,울산 북구 정자동 바깥해역,35.606,129.476,50-70,y
2016-08-04,경북 감포 근해,35.918,129.548,,
2016-08-04,"경북 울릉도, 독도 사이",37.409,131.176,20,
2016-08-04,경북 감포 근해,35.82,129.523,50-70,y
2016-08-04,경북 감포 근해,35.82,129.523,20,y
2016-08-04,"경북 영덕 축산항, 대진항 사이",36.532,129.451,50-70,y
2016-08-04,"경북 영덕 축산항, 대진항 사이",36.532,129.451,20,y
2016-08-04,경북 포항시 82-4해구,36.282,129.621,,
2016-08-04,경북 울진 원자력발전소 근해,37.13,129.401,,
2016-08-04,경북 울진 오산항 근해,36.806,129.479,100,y
2016-08-04,경북 울진 근해,36.929,129.462,,
2016-08-04,경북 울진 근해,37.012,129.454,70,y
2016-08-04,경북 포항 북구 월포 근해,36.201,129.387,30,y
2016-08-04,경북 포항 북구 월포 근해,36.201,129.387,20,y
2016-08-04,경북 포항시 흥해 근해,36.135,129.419,20,
2016-08-04,경북 포항시 흥해 근해,36.135,129.419,40,
2016-08-04,경북 포항시 흥해 칠포만 근해,36.161,129.419,15-20,y
2016-08-04,경북 울진 왕돌초 근해,37.002,129.434,,
2016-08-04,경북 울진 사동 앞바다,37.047,129.427,50,y
2016-08-04,강원도 고성 간성봉우리 근해,38.198,128.629,,
2016-08-04,제주도 제주시 근해,33.53,126.448,30,
2016-08-04,제주도 제주시 서북쪽 근해,33.556,126.338,,
2016-08-04,제주도 서귀포시 중문해수욕장 근해,33.238,126.41,,
2016-08-04,제주도 차귀도 근해,33.306,126.16,,
2016-08-04,제주시 구좌읍 종달리 근해,33.531,126.924,70,
2016-08-04,동중국해,29.833,125.917,60,y
2016-08-04,경기도 화성시 우정읍 국화리,37.068,126.561,10,
2016-08-04,경기도 화성시 서신면 백미리 도리도마을어장,37.143,126.636,,
2016-08-04,"경기도 화성시 우정읍 국화리입파도,육도 근처해역",37.124,126.632,30-40,
2016-08-04,경기도 화성시 서신면 궁평 앞바다,37.098,126.604,,
2016-08-04,인천광역시 서구 청라동 세어도 연안,37.579,126.549,,
2016-08-04,경기도 화성시 우정읍 입파도 근해,37.107,126.544,40,
2016-08-04,경기도 안산시 단원구 말봉 앞바다,37.208,126.608,,
2016-08-04,경기도 화성시 단원구 풍도근해,37.112,126.401,,
2016-08-04,경기도 안산시 대부도 근해(옹진군-바로옆해역),37.285,126.516,20,
2016-08-04,경기도 시흥시 오이도앞 근해,37.352,126.676,,
2016-08-04,충남 서산 팔봉면 가로림만 내권,37.311,126.675,5,
2016-08-04,충남 서산 팔봉면 가로림 근해,36.947,126.353,15,
2016-08-04,충남 서산 팔봉면 가로림만 내권,36.965,126.322,05-10,
2016-08-04,충남 부석면 천수만 근해,36.515,126.419,30-40,y
2016-08-04,충남 부석면 천수만 근해,36.515,126.419,40,
